,flame,human,point,x,y
0,66,1,11,821,491
0,66,1,12,809,660
0,66,1,13,805,771
0,66,1,14,766,292
0,66,1,15,793,290
0,66,1,16,747,294
0,66,1,17,812,290
0,67,1,0,780,303
0,67,1,1,784,359
0,67,1,2,738,368
0,67,1,5,833,352
0,67,1,6,895,278
0,67,1,7,853,204
0,67,1,8,761,500
0,67,1,11,823,493
0,67,1,12,819,602
0,67,1,14,766,292
0,67,1,15,793,290
0,67,1,16,747,294
0,67,1,17,814,287
0,68,1,0,780,303
0,68,1,1,784,359
0,68,1,2,738,368
0,68,1,5,833,352
0,68,1,6,895,278
0,68,1,7,853,204
0,68,1,8,761,503
0,68,1,11,823,493
0,68,1,12,819,602
0,68,1,14,766,292
0,68,1,15,793,290
0,68,1,16,747,294
0,68,1,17,814,287
0,69,1,0,780,303
0,69,1,1,784,359
0,69,1,2,738,368
0,69,1,5,830,352
0,69,1,6,895,278
0,69,1,7,853,202
0,69,1,8,766,505
0,69,1,11,828,496
0,69,1,12,809,660
0,69,1,13,805,774
0,69,1,14,766,292
0,69,1,15,793,290
0,69,1,16,747,294
0,69,1,17,814,287
0,70,1,0,780,303
0,70,1,1,784,359
0,70,1,2,738,368
0,70,1,5,830,352
0,70,1,6,895,278
0,70,1,7,853,204
0,70,1,8,766,510
0,70,1,11,828,498
0,70,1,12,809,660
0,70,1,13,805,774
0,70,1,14,766,292
0,70,1,15,793,290
0,70,1,16,747,294
0,70,1,17,814,287
0,71,1,0,782,303
0,71,1,1,784,359
0,71,1,2,738,368
0,71,1,5,830,352
0,71,1,6,897,276
0,71,1,7,853,204
0,71,1,8,770,526
0,71,1,9,731,628
0,71,1,11,830,507
0,71,1,12,809,658
0,71,1,13,805,774
0,71,1,14,766,290
0,71,1,15,793,290
0,71,1,16,747,292
0,71,1,17,814,287
0,72,1,0,782,303
0,72,1,1,784,359
0,72,1,2,738,368
0,72,1,5,830,352
0,72,1,6,895,276
0,72,1,7,853,204
0,72,1,8,770,526
0,72,1,9,731,628
0,72,1,11,830,510
0,72,1,12,809,658
0,72,1,13,805,774
0,72,1,14,766,290
0,72,1,15,793,290
0,72,1,16,747,292
0,72,1,17,814,287
0,73,1,0,782,303
0,73,1,1,784,361
0,73,1,2,738,368
0,73,1,5,830,352
0,73,1,6,895,278
