,frame,human,point,x,y
0,69,1,5,852,312
0,69,1,6,850,202
0,69,1,7,844,136
0,69,1,8,774,414
0,69,1,9,858,494
0,69,1,10,852,608
0,69,1,11,744,384
0,69,1,12,658,496
0,69,1,13,604,564
0,69,1,17,902,308
0,70,1,2,888,380
0,70,1,5,848,312
0,70,1,6,850,202
0,70,1,7,844,136
0,70,1,8,772,418
0,70,1,9,856,494
0,70,1,10,852,608
0,70,1,11,740,388
0,70,1,12,658,496
0,70,1,13,604,564
0,70,1,17,902,310
0,71,1,2,888,380
0,71,1,5,848,312
0,71,1,6,850,202
0,71,1,7,844,136
0,71,1,8,772,418
0,71,1,9,856,494
0,71,1,10,852,608
0,71,1,11,740,388
0,71,1,12,658,496
0,71,1,13,604,564
0,71,1,17,902,310
0,72,1,2,888,382
0,72,1,5,850,312
0,72,1,6,850,204
0,72,1,7,844,134
0,72,1,8,774,418
0,72,1,9,856,494
0,72,1,10,852,606
0,72,1,11,744,388
0,72,1,12,658,496
0,72,1,13,608,558
0,72,1,17,902,310
0,73,1,2,888,382
0,73,1,5,850,312
0,73,1,6,850,204
0,73,1,7,844,134
0,73,1,8,774,418
0,73,1,9,856,494
0,73,1,10,852,606
0,73,1,11,744,388
0,73,1,12,658,496
0,73,1,13,608,558
0,73,1,17,902,310
0,74,1,2,886,380
0,74,1,5,852,314
0,74,1,6,850,202
0,74,1,7,844,134
0,74,1,8,774,418
0,74,1,9,856,494
0,74,1,10,852,608
0,74,1,11,744,386
0,74,1,12,658,496
0,74,1,13,604,564
0,74,1,17,902,310
0,75,1,2,886,380
0,75,1,5,852,314
0,75,1,6,850,202
0,75,1,7,844,134
0,75,1,8,774,418
0,75,1,9,856,494
0,75,1,10,852,608
0,75,1,11,744,386
0,75,1,12,658,496
0,75,1,13,604,564
0,75,1,17,902,310
0,76,1,2,886,382
0,76,1,5,848,310
0,76,1,6,850,202
0,76,1,7,846,134
0,76,1,8,774,420
0,76,1,9,856,494
0,76,1,10,852,608
0,76,1,11,742,390
0,76,1,12,658,496
0,76,1,13,604,566
0,76,1,17,902,310
0,77,1,2,886,382
0,77,1,5,848,310
0,77,1,6,850,202
0,77,1,7,846,134
0,77,1,8,774,420
0,77,1,9,856,494
0,77,1,10,852,608
0,77,1,11,742,390
0,77,1,12,658,496
0,77,1,13,604,566
0,77,1,17,902,310
0,78,1,2,886,382
0,78,1,5,852,314
0,78,1,6,850,202
0,78,1,7,846,134
0,78,1,8,776,420
0,78,1,9,856,494
0,78,1,10,852,606
0,78,1,11,742,390
0,78,1,12,658,496
0,78,1,13,604,566
0,78,1,17,902,310
0,79,1,2,886,382
0,79,1,5,852,314
0,79,1,6,850,202
0,79,1,7,846,134
0,79,1,8,776,420
0,79,1,9,856,494
0,79,1,10,852,606
0,79,1,11,742,390
0,79,1,12,658,496
0,79,1,13,604,566
0,79,1,17,902,310
0,80,1,2,886,380
0,80,1,5,850,314
0,80,1,6,850,202
0,80,1,7,846,134
0,80,1,8,776,420
0,80,1,9,858,494
0,80,1,10,852,608
0,80,1,11,744,388
0,80,1,12,658,496
0,80,1,13,604,566
0,80,1,17,902,310
0,81,1,2,886,380
0,81,1,5,850,314
0,81,1,6,850,202
0,81,1,7,846,134
0,81,1,8,776,420
0,81,1,9,858,494
0,81,1,10,852,608
0,81,1,11,744,388
0,81,1,12,658,496
0,81,1,13,604,566
0,81,1,17,902,310
0,82,1,2,888,382
0,82,1,5,852,314
0,82,1,6,850,204
0,82,1,7,848,136
0,82,1,8,772,416
0,82,1,9,858,494
0,82,1,10,852,610
0,82,1,11,744,390
0,82,1,12,658,498
0,82,1,13,606,564
0,82,1,17,904,310
0,83,1,2,888,382
0,83,1,5,852,314
0,83,1,6,850,204
0,83,1,7,848,136
0,83,1,8,772,416
0,83,1,9,858,494
0,83,1,10,852,610
0,83,1,11,744,390
0,83,1,12,658,498
0,83,1,13,606,564
0,83,1,17,904,310
0,84,1,2,888,382
0,84,1,5,852,316
0,84,1,6,850,202
0,84,1,7,848,138
0,84,1,8,772,418
0,84,1,9,860,494
0,84,1,10,852,608
0,84,1,11,744,392
0,84,1,12,660,498
0,84,1,13,608,562
0,84,1,15,904,300
0,84,1,17,904,312
0,85,1,2,888,382
0,85,1,5,852,316
0,85,1,6,850,202
0,85,1,7,848,138
0,85,1,8,772,418
0,85,1,9,860,494
0,85,1,10,852,608
0,85,1,11,744,392
0,85,1,12,660,498
0,85,1,13,608,562
0,85,1,15,904,300
0,85,1,17,904,312
0,86,1,2,890,384
0,86,1,5,854,316
0,86,1,6,850,204
0,86,1,7,850,138
0,86,1,8,776,420
0,86,1,9,860,496
0,86,1,10,852,608
0,86,1,11,744,390
0,86,1,12,660,498
0,86,1,13,604,568
0,86,1,17,906,312
0,87,1,2,890,384
0,87,1,5,854,316
0,87,1,6,850,204
0,87,1,7,850,138
0,87,1,8,776,420
0,87,1,9,860,496
0,87,1,10,852,608
0,87,1,11,744,390
0,87,1,12,660,498
0,87,1,13,604,568
0,87,1,17,906,312
0,88,1,2,890,384
0,88,1,5,850,316
0,88,1,6,850,202
0,88,1,7,850,140
0,88,1,8,774,422
0,88,1,9,860,496
0,88,1,10,852,608
0,88,1,11,740,396
0,88,1,12,660,498
0,88,1,13,604,570
0,88,1,17,904,314
0,89,1,2,890,384
