,frame,human,point,x,y
0,102,1,5,684,244
0,102,1,6,762,260
0,102,1,7,846,242
0,102,1,8,597,392
0,102,1,9,602,525
0,102,1,10,602,634
0,102,1,11,655,397
0,102,1,12,708,525
0,102,1,13,780,647
0,102,1,14,612,167
0,102,1,15,630,165
0,102,1,17,663,171
0,104,1,0,618,177
0,104,1,1,643,244
0,104,1,2,600,248
0,104,1,3,581,323
0,104,1,5,684,244
0,104,1,6,764,260
0,104,1,7,846,242
0,104,1,8,597,390
0,104,1,9,600,527
0,104,1,10,602,634
0,104,1,11,655,394
0,104,1,12,710,525
0,104,1,13,780,647
0,104,1,14,612,167
0,104,1,15,630,165
0,104,1,17,663,171
0,106,1,0,618,177
0,106,1,1,645,242
0,106,1,2,602,246
0,106,1,5,684,244
0,106,1,6,764,260
0,106,1,7,844,242
0,106,1,8,597,390
0,106,1,9,600,525
0,106,1,10,602,634
0,106,1,11,653,397
0,106,1,12,706,527
0,106,1,13,756,594
0,106,1,14,612,167
0,106,1,15,630,165
0,106,1,17,665,173
0,108,1,0,618,177
0,108,1,1,647,240
0,108,1,2,608,238
0,108,1,5,684,242
0,108,1,6,764,260
0,108,1,7,846,242
0,108,1,8,597,390
0,108,1,9,600,525
0,108,1,10,602,634
0,108,1,11,655,397
0,108,1,12,710,529
0,108,1,13,758,598
0,108,1,14,612,167
0,108,1,15,632,165
0,108,1,17,665,173
0,110,1,0,618,177
0,110,1,1,645,240
0,110,1,2,604,244
0,110,1,5,686,242
0,110,1,6,764,260
0,110,1,7,846,240
0,110,1,8,597,390
0,110,1,9,600,521
0,110,1,10,602,634
0,110,1,11,655,397
0,110,1,12,714,531
0,110,1,13,780,649
0,110,1,14,614,167
0,110,1,15,632,165
0,110,1,17,665,173
0,112,1,0,618,177
0,112,1,1,645,240
0,112,1,2,604,244
0,112,1,5,684,242
0,112,1,6,764,260
0,112,1,7,846,240
0,112,1,8,600,388
0,112,1,9,602,523
0,112,1,10,602,634
0,112,1,11,655,394
0,112,1,12,712,529
0,112,1,13,758,598
0,112,1,14,614,167
0,112,1,15,632,165
0,112,1,17,665,173
0,114,1,0,618,177
0,114,1,1,645,240
0,114,1,2,606,244
0,114,1,5,684,242
0,114,1,6,764,260
0,114,1,7,846,240
0,114,1,8,600,390
0,114,1,9,602,527
0,114,1,10,604,636
0,114,1,11,655,394
0,114,1,12,712,529
0,114,1,13,782,649
0,114,1,14,614,167
0,114,1,15,632,165
0,114,1,17,665,173
0,116,1,0,618,177
0,116,1,1,647,240
0,116,1,2,606,242
0,116,1,5,686,242
0,116,1,6,764,260
0,116,1,7,846,240
0,116,1,8,600,390
0,116,1,9,602,527
0,116,1,10,604,636
0,116,1,11,655,394
0,116,1,12,712,531
0,116,1,13,760,600
0,116,1,14,614,167
0,116,1,15,632,165
0,116,1,17,665,173
0,118,1,0,620,177
0,118,1,1,645,242
0,118,1,2,604,246
0,118,1,5,686,242
0,118,1,6,764,260
0,118,1,7,846,240
0,118,1,8,600,390
0,118,1,9,602,529
0,118,1,10,604,636
0,118,1,11,655,397
0,118,1,12,717,533
0,118,1,13,760,600
0,118,1,14,614,167
0,118,1,15,632,165
0,118,1,17,665,173
0,120,1,0,620,177
0,120,1,1,645,242
0,120,1,2,604,246
0,120,1,5,686,242
0,120,1,6,764,260
0,120,1,7,846,240
0,120,1,8,597,392
0,120,1,9,602,527
0,120,1,10,604,636
0,120,1,11,655,399
0,120,1,12,712,529
0,120,1,13,782,647
0,120,1,14,614,167
0,120,1,15,632,165
