,flame,human,point,x,y
0,76,1,7,890,238
0,76,1,8,814,384
0,76,1,9,794,480
0,76,1,10,722,630
0,76,1,11,860,396
0,76,1,12,868,522
0,76,1,13,832,674
0,76,1,14,844,166
0,76,1,15,854,160
0,76,1,16,816,192
0,78,1,0,866,178
0,78,1,1,836,246
0,78,1,2,854,256
0,78,1,3,856,264
0,78,1,4,858,278
0,78,1,5,824,236
0,78,1,8,866,398
0,78,1,11,852,402
0,78,1,12,800,512
0,78,1,14,850,174
0,78,1,15,864,166
0,78,1,16,822,200
0,80,1,0,872,188
0,80,1,1,844,256
0,80,1,2,854,258
0,80,1,3,842,296
0,80,1,4,808,348
0,80,1,5,834,250
0,80,1,8,860,408
0,80,1,9,868,544
0,80,1,10,824,680
0,80,1,11,848,412
0,80,1,12,870,540
0,80,1,13,826,674
0,80,1,14,856,184
0,80,1,15,870,176
0,80,1,16,828,208
0,82,1,0,876,194
0,82,1,1,860,268
0,82,1,2,852,268
0,82,1,3,824,334
0,82,1,4,778,402
0,82,1,5,866,264
0,82,1,8,860,422
0,82,1,9,864,562
0,82,1,10,824,680
0,82,1,11,848,426
0,82,1,12,870,562
0,82,1,13,872,644
0,82,1,14,858,192
0,82,1,15,876,182
0,82,1,16,832,214
0,84,1,0,880,196
0,84,1,1,868,272
0,84,1,2,848,274
0,84,1,3,820,360
0,84,1,4,776,436
0,84,1,5,888,270
0,84,1,8,838,434
0,84,1,9,864,564
0,84,1,10,826,674
0,84,1,11,874,434
0,84,1,12,908,538
0,84,1,13,892,642
0,84,1,14,862,194
0,84,1,15,878,184
0,84,1,16,836,214
0,86,1,0,880,192
0,86,1,1,874,266
0,86,1,2,848,272
0,86,1,3,832,364
0,86,1,4,798,448
0,86,1,5,900,256
0,86,1,6,938,302
0,86,1,7,986,348
0,86,1,8,848,430
0,86,1,9,858,568
0,86,1,10,828,668
0,86,1,11,878,432
0,86,1,12,916,536
0,86,1,14,862,188
0,86,1,15,880,180
0,86,1,16,838,210
0,88,1,0,882,190
0,88,1,1,882,264
0,88,1,2,846,272
0,88,1,3,850,364
0,88,1,4,832,450
0,88,1,5,920,254
0,88,1,6,966,320
0,88,1,7,1016,384
0,88,1,8,860,420
0,88,1,9,848,574
0,88,1,10,824,670
0,88,1,11,896,424
0,88,1,12,914,530
0,88,1,14,864,186
0,88,1,15,884,176
0,88,1,16,844,206
0,90,1,0,886,188
0,90,1,1,896,258
0,90,1,2,854,266
0,90,1,3,852,356
0,90,1,4,848,446
0,90,1,5,940,250
0,90,1,6,978,322
0,90,1,7,1014,386
0,90,1,8,870,416
0,90,1,9,848,550
0,90,1,10,828,666
0,90,1,11,914,418
0,90,1,12,918,568
0,90,1,13,916,648
0,90,1,14,868,186
0,90,1,15,890,176
0,90,1,16,854,202
0,90,1,17,904,180
0,92,1,0,890,190
0,92,1,1,906,252
0,92,1,2,858,258
0,92,1,3,850,344
0,92,1,4,866,428
0,92,1,5,956,248
0,92,1,6,976,304
0,92,1,7,982,354
0,92,1,8,876,414
0,92,1,9,864,542
0,92,1,10,836,656
0,92,1,11,930,410
0,92,1,12,926,534
0,92,1,13,918,648
0,92,1,14,874,186
0,92,1,15,896,174
0,92,1,16,862,198
0,92,1,17,912,176
